Numero_cliente,Fecha_Update,Estatus,Motivo,Tasa_Interes,Importe,Id_product,CAT,TXN,CP,Puntuacion,canal_venta
1508,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1517,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1554,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
1598,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1611,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1620,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
1622,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1627,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1639,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1667,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
1692,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1709,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1726,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1749,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1758,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1773,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
1802,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
1818,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1823,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1838,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1845,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1854,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
1863,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1878,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1898,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1903,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
1919,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1924,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1928,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1932,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1944,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1964,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1983,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2014,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
2019,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2034,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2039,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2053,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2072,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2087,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2106,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2142,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2145,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2159,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2204,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2213,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2223,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2268,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
2278,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
2297,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2300,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2314,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2320,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2334,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
2404,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
2426,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2433,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2441,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2452,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2478,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2517,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
2526,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2533,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2541,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2545,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2555,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
2566,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
2575,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2585,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2590,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2596,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2612,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2618,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2623,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2637,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
2653,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2665,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2688,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2698,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2705,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2721,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2727,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2737,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2743,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
2750,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2752,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
2758,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2768,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
2771,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
2808,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2815,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
2856,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
2874,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
2882,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2910,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2936,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2949,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
2958,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
2965,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2982,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
2990,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3008,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
3041,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3050,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3055,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3064,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3077,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
3089,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3091,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
3095,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
3103,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
3131,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3145,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3149,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3171,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3202,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
3210,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3215,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
3222,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3233,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3245,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3255,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
3258,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
3268,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
3289,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
3314,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
3319,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3341,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3347,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3354,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
3363,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3370,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3384,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3404,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3410,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3416,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3422,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3433,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3444,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3455,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3464,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3471,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
3481,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
3490,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3496,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
3517,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3522,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
3536,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
3545,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
3559,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
3563,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3595,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
3617,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
3634,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
